English,Infinitiv,Presens,Imperfekt / Preteritum,Supinum,Imperativum
,väga,väger,vägde,vägt,
,väja,väjer,väjde,väjt,
,välja,väljer,valde,valt,
,välla,väller,vällde,vällt,
,välta (umkippen),"välter, vältar","välte, vältade","vält, vältat",
,välva,välver,välvde,välvt,
,vämjas,vämjes,vämdes,vämts,
,vända,vänder,vände,vänt,
,vänja,vänjer,vande,vant,
,värja,värjer,värjde,värjt,
,värka,värker,värkte,värkt,
,värma,värmer,värmde,värmt,
,värpa,värper,värpte,värpt,
,värva,värver,värvde,värvt,
,väsa,väser,väste,väst,
,vässa,vässer,vässte,vässt,
,väta,väter,vätte,vätt,
,väva,väver,vävde,vävt,
,växa,växer,växte,"växt, vuxit",
,Y[edit],,,,
,yra (stöbern),yr,yrde,yrt,
,ysta,"ystar, yster","ystade, yste","ystat, yst",
,yvas,"yves, yvs",yvdes,yvts,
,"Å, Ä, Ö[edit]",,,,
,åka,åker,åkte,åkt,
,åtrå,åtrår,åtrådde,åtrått,
,äga,äger,ägde,ägt,
,ärja,ärjer,ärjde,ärjt,
,ärva,ärver,ärvde,ärvt,
,äta,äter,åt,ätit,
,öda,öder,ödde,ött,
,ösa,öser,öste,öst,
